clean_text,sentiment,confidence
wisebits stories like blinkist novels helping tackle reading goals without stress,positive,0.9
never knew wanted till,neutral,0.5
love book suggestion vids always find gems,positive,0.9
looking new reads perfect timing,positive,0.8
u must read truth without apology acharya prashant,positive,0.8
idea start love,positive,0.8
wow needed fresh book ideas thanks,positive,0.8
cant wait check,positive,0.8
finally found next read,positive,0.8
di im years old read books really interesting means im asking pls tell,neutral,0.7
part,neutral,1.0
,neutral,0.0
,neutral,0.0
read ikigai love helps us realize stay young heart give importantance every moment life,positive,0.9
kya ramayan aur mahabharat bta k chle gye yr inko kya padhna jitna janna zaruri h utna tv dekh liya sabne,negative,0.8
hey dear book mahabharat unravelled good book reading book dont know felt like writer intentionally wanted portray character karana bad light know karanas character already controversial book kept feeling writer personal grudge,negative,0.8
autumn reason wore tiaras school th grade,neutral,1.0
uhm mom love acotar like loves,positive,0.8
offense vids opinions lowk piss baddd,negative,0.8
unpopular opinion king greed waaay better king wrath,positive,0.8
books lol read first chapter find another random chapter read one side im still happy dont read book,positive,0.7
cant tell rage bait,negative,0.7
one us lying karen mcmanus worst murder mystery book series ive ever read character actually liked maeve rojas,negative,0.8
wish could permanently unread powerless,negative,0.8
mean theres groveling yearning king greed grovelled whole book,negative,0.8
bro loved matched books pmo imo wasnt good povs really confusing matched dubs,negative,0.7
loved love autumn didnt conform popular girls whatever loved tiaras,positive,0.8
hate seriously love summer turned pretty im currently reading second book,positive,0.8
,neutral,0.0
yes read king greed havent picked since im currrently attempting rereading acotar long,neutral,0.7
love summer turn pretty series like first books wasnt kids,positive,0.7
tale desperaux bc girls mother dies end nobody cares want one point somebody finally asks wants says want mom,negative,0.8
wicked lovley harry potter worst book series opinion,negative,0.8
check book,neutral,1.0
hunger games divergent reread serious one kpop demon hunters book got christmas love kdh book spelled huntrix huntrx times find aesthetically displeasing got names saja boys wrong,negative,0.7
king greed favorite book ana huangs book cause dang realistic relate happened almost parents except dirty parts afc like,positive,0.8
loved,positive,1.0
icebreaker stop giving spicy books innocent covers,negative,0.8
pain sister whos fan summer turned petty realistic fiction pointless sounds cooler guys going supermarket conquistador centaurs battling mammoths,neutral,0.7
said different video love mewhich exactly,positive,0.7
love sure getting second hand embarrassment overthe tiaras think ending quite fast tho,neutral,0.6
flock kate stewart dont think explanation needed,negative,0.8
best book ever cried dang hard bro,positive,0.8
belly weird nickname tbh,neutral,0.7
read fanfic lots spice lol,positive,0.8
good feel like fair hate books arent writing,negative,0.7
agree king greed put reading slump rest series kings sin twisted series good,positive,0.7
,neutral,0.0
books forced read home reading,negative,0.7
okay saying reads like fanfic actually insane take,negative,0.7
complain tamlin bring rhysand hes bad,negative,0.8
red white royal blue bc yhat book traumatized,negative,0.8
cruel prince,negative,0.8
wish unread pjohoo series reread experience emotional rollercoaster without spoilers,positive,0.8
fricking loved autumns tiaras fire im currently reading told along inheritance games thats besides point,positive,0.8
silent patientit good book style kinda boring,neutral,0.6
unpopular opinion lightlark heard highly rated wish chose grim instead,neutral,0.6
ill forever love genuinely makes cry every time,positive,0.9
valid feel like could dug deeper autumn life thoughts personalities mostly foucused romance,neutral,0.6
didnt finish read book two cousins would make intimate things really could unread,negative,0.8
unpopular opinion youve reached sam hated writing style boring slow force read make cry even tho im trying find books opinion,negative,0.9
really want read good,positive,0.7
romantic books killing reading hobby like write something else,negative,0.8
betrothed kiara cass spoiler warning good plot cried dang hard silas died,negative,0.8
id want un read books read first time,positive,0.7
alleigent u know,neutral,0.5
read fake skating lynn painter good,positive,0.7
read review medoran chronicles lynette noni love want see people think,positive,0.8
day asking read operation frog effect,neutral,0.5
dear maam im currently writing book around complete planned release amazon within next months im reaching early request support goes live even short review mention would greatly help thank much time encouragement,positive,0.9
heard enemies lovers eyes lit,positive,0.8
,neutral,0.0
forth wing iron flame onyx storm,neutral,1.0
yesss broken country book bought havent read yet makes happy see everyone liking,positive,0.8
haylee pregnant close angles optical illusion clothing lmao cringe announcement videos definitely cant wait,positive,0.8
reading books month insane usually takes month read one unless im already hyperfixated pick book like got hyperfixated long walk stephen king read entire thing today,positive,0.8
ive read like books,neutral,0.5
books one month insane reading pace,positive,0.8
read lotm,neutral,0.5
woah didnt know fearful released hooked fearless reading,positive,0.8
wanna read prison healer lynette noni makes amazing books,positive,0.9
hi,neutral,0.5
great reviews characters must head characters stay must well written thank,positive,0.9
love,positive,1.0
oh thought u meant wrote books september screamed,negative,0.6
nonfiction books read fiction noy reading nonfiction missing whole sections history make game thrones look absolutely tame,negative,0.8
elin hilderbrand daughter alchemy secrets want read thanks sharing youve read read lot one month quite impressive also wanna read new book released called one way another based stranger things stories,positive,0.9
watermark top book corner,neutral,1.0
oh gosh love fantasy thank showing way,positive,0.8
good titles,positive,0.7
yall read percy jackson promise u might seem like childrens book childish legit made adults younger,positive,0.8
read amulet book chapters soo good swear best time new york book,positive,0.9
one read hard fake piper lawson,neutral,0.5
wait theese sound good,positive,0.8
updated tour home library got lot books,positive,0.8
im gonna made fun school doesnt help im guy,negative,0.8
havent read whole powerless series amazing yo need,positive,0.8
okay two book series definitely read naturals jennifer lynn barnes powerless lauren roberts,positive,0.8
read beginning everything,neutral,0.5
used read much th grade fell th im senior btw books counting arent actual books ive read like im currently reading animal farm george orwell im trying finish actually short book hard time actually sit read reason im book yk,neutral,0.6
tried academy review literally threw away way raunchy familys taste,negative,0.8
read many books tried able read pages self help fiction,neutral,0.5
need read witcher hunger games,neutral,0.5
question know young adult christian books parents strict read,neutral,0.5
really like read books encourage read,positive,0.8
read left behind series tim lahaye jerry b jenkins really good,positive,0.9
god bless,positive,0.9
dont really know reading taste please read medoran chronicles lynette noni,neutral,0.6
read good girls guide murder series holly jackson,positive,0.8
read life walter boys ali novak finished loved,positive,0.8
ever read series mind heart dreams,neutral,0.5
read manga,neutral,0.5
please read legend series marie lu favorite book series would love see read books series btw legend prodigy champion rebel,positive,0.9
start reading books never finish,negative,0.7
prison healer series amazing first book definitely slow plot quickly picks nd rd books,positive,0.8
u please read ann liangs books,positive,0.8
thank didnt like midnight library wasnt good people told,negative,0.8
every summer beach read great books dont say books overhyper opinion,positive,0.8
normal people worst book ive ever read,negative,0.9
read tree grows brooklyn freshman year honors english american marriage gets mixed reviews love,neutral,0.6
tree grows brooklyn slepton incredibly famous classic,positive,0.8
anyone else reading bible lately jesus loves yall,positive,0.9
thats slept girl thoes books pretty popular many clasic bestselling theyre maybe tiktok popular genre,positive,0.7
yes romance fan either would please consider another themes would love see one thanks,positive,0.8
gurl every summer lit,positive,0.8
dont understand unhoneymooners criticism fun,positive,0.8
slept books nyt best sellers lol video meeeeaaan,positive,0.6
loved midnight library,positive,0.9
whaaaat loved normal people actually barely heard,positive,0.7
midnigjt library good idea dont like,negative,0.6
earth soooo good,positive,0.9
omg love boys ive loved thoughhh,positive,0.8
might late anyone reply anyone else think alchemist series michael scott underrated like ones heard everyone recommend ends loving,positive,0.8
tatbilb good tho,positive,0.8
love,positive,1.0
say boys loved befire overhyped could put book two days straight laughed cried screamed,positive,0.8
thanks sharing always love good book recommendations,positive,0.9
way mouth dropped saw boys ive loved hyped pile like thats favorite book ive red,positive,0.8
tree grows brooklyn slept pretty popular book actually many best sellers,positive,0.8
thank fine choices also novel assunta writer named greco modernday variant epic th century poem divine comedy three books oneinferno purgatorio paradiso forceful love story trip hell heavy depravity slaughtermy cup tea dystopianhorrorsci fi die,neutral,0.6
yesss,positive,0.9
,neutral,0.0
hi everyone im absolutely passionate reading getting lost storiesbooks unfortunately buying new books isnt always feasible books gathering dust shelves youd willing share id incredibly grateful donations would mean world fuel love reading whether novels nonfiction anything id love give new home thanks much advance considering,positive,0.9
heres book isnt talked enough ophis gambit really good,positive,0.8
boys loved felt derserved right amount praise,positive,0.8
piece worki would like share maybe helpful one way another based music spirituality,positive,0.8
tree grows brooklyn mention favorite book little kid bought new copy adulthood reread couple years ago still really enjoyed,positive,0.9
ones overhyped opinion opinion better designed probably better marketing well look cover attractive would pick least read says back ones probably wouldnt yes shouldnt judge book cover still,neutral,0.6
lala,neutral,0.5
hurt said boys ive loved overhyped buts opinion,negative,0.8
loved midnight library overhyped husbands evelyn hugo,neutral,0.6
parable sower great,positive,0.8
couldnt get love hypothesis,negative,0.8
put boys loved diabolical know opinion,neutral,0.5
boys ive loved iconic,positive,0.8
good,positive,1.0
adding read list,neutral,0.5
covers look boring guys wings shadow powers arrogant personality burn solar system keep warm,negative,0.8
yes agree,positive,0.8
agree feel like everyone hyped earth briefly gorgeous dont think underrated,positive,0.7
loved every overhyped book u mentioned,negative,0.8
big swiss,neutral,1.0
sword forge michael bell,neutral,0.5
normal people,neutral,1.0
edge extinction demon road r hyped,positive,0.8
good read may suggest googling reviews black bottle man,neutral,0.6
quicksilver isnt hated enough ill die hill,negative,0.8
pls tell laughing sons bouncy balls,neutral,0.5
stick gay romance novels lol,neutral,0.7
haunting adeline literally sa,neutral,0.5
im sorry like ur videos like either ur hating books especially colleen hoover dont blame u ur grabbing new book,neutral,0.6
heres thought know dont read book dont like maybe start campaign get banned offend sensibilities,negative,0.8
unpopular opinion mine weird age gaps cant even legal fmc mmc knew love interest childhood,negative,0.8
,neutral,0.0
miss love romance wasnt really want get pants alas thats chapter like get may lust seriously want romance thats meet cute silly little dates healthy relationships something adorable,positive,0.8
ppl dont read well duhh im reading romance annoying days cant find anything without often weirdly placed sex scene infuriating like im thinking digging classical fiction stay kids books sex dont make youre book cooler okay abuse toxicity glamorized even coping method unhealthy one genuinely dont blame people age prefer tv shows video games books much shit market high demand meanwhile actually good things dont get published big publishers looking makes customer happy apparently makes customer happy absolutely shit,negative,0.9
haunting adeline sexual abuse harrasment murder everything wrong book dont even make mention second one nightmare,negative,0.9
also normalize allowed hate acotar books,neutral,0.5
enjoyed ends us,positive,0.7
honestly think people kinks n shouldnt kink shame anything either unconsenting involving minors weird fifty shades grey movie js cringe omfg,negative,0.8
stroke midnight k webster age gap romance guy knockoff christian guy coupled female leads icky step brothers try gang rpe entire book dad remains blindsided throughout book also ends cliffhanger immediately like hell fcking,negative,0.9
dont get problem bj mean smt,neutral,0.5
dare hold icebreaker,neutral,0.5
dont dislike books taboo subject matter dislike author metaphorically yapping ear telling think theyre subtle anything,negative,0.8
friend told read verity colleen hoover idea read concept could actually interesting top sexual melodramatic got ridiculous end never,negative,0.8
hate amish romance books,negative,0.9
literacy dead,negative,0.8
magnolia parks could read,neutral,0.5
koran,neutral,1.0
fifty shades grey also type books hated twilight,negative,0.8
haunting adeline,negative,0.7
den vipers,negative,0.8
thank god someone whos guy calling books cuz tired getting called sexist complaining abt obvious gooner crap plot isnt good either books good reads,positive,0.7
funny homosexual fiction sort trope theyd immediately get backlash heavily like ew yall like abuse killing stalking etc two guysgirls friends yall shipping whole straight romance every media almost rarely ever gets talked,neutral,0.6
cheating homewrecking also normalised like dont yall shame,negative,0.8
hot take read books make uncomfortable good intellectually morally need experience art makes uncomfortable go way even analyze makes uncomfortable analyze author might written analyze everything time conservatism time high rising need intellectualism ever starts expanding worldview,positive,0.8
said hate colleen hoover like every video srrsly think get ppl read bcs want see actually ad bad claim get ppl read aside always hating colleen hoover love videos lol,positive,0.7
ordered icebreaker broo,neutral,0.5
icebreaker im sorry harry potter community author isnt best person,negative,0.8
call name,neutral,1.0
absolutely disgusting young women fed crap like try finding young adult book littered sexual violence forms abuse,negative,0.9
add haunting adeline list,neutral,0.5
haunting adeline hate zade,negative,0.8
eww gymnastics one,negative,0.8
lets get haunting adeline banned,negative,0.8
brought ugly love school book day year found teachers desk knew cooked,neutral,0.5
books stars opinion,neutral,0.5
thought foarm pedophilia banned across civilized world find books middle eastern countury,negative,0.8
honestly neighbor stole christmas candycane scene though cary,negative,0.8
hate lovely bones burning passion,negative,0.6
sa terrible need stop kink shaming seriously,negative,0.8
book deserved burnt,negative,0.9
books author ahem jk rowling ahem,positive,0.8
glad didnt mention twisted love,negative,0.7
acotarrrrrr,neutral,1.0
fear loathing las vegas needs hate,negative,0.8
true pleasure literature found bizarre demanding works name helen dewitt ilya gridneff every year set reading challenge sometimes smallread poetry read older booksand sometimes quite large decade ago spent entire year reading nothing chars,positive,0.7
decade trump era readers hungry learn man seem fill long ago books donald trump safest bet publishing fire fury michael wolffs tellall trumps chaotic first year office monster best seller chars,neutral,0.6
writers recommendations literature challenges expands edition wonder reader newsletter editors recommend set stories spark curiosity fill delight sign get every saturday morning chars,positive,0.8
university breaches cyberattacks shut whole supply chains worst cybersecurity incidents year strange year cyberspace us president donald trump administration launched foreign policy initiatives massive changes federal government significant ge chars,negative,0.7
spending video game hardware november totalled million drop percent compared last year according market analyst company circana lowest video game hardware spending total november month since reached ullilililililiul cost new hardware going cost new hardware going jay petersclose jay peters posts author chars,negative,0.8
one concerning questions sales teams beginning tech giants killing cold outreach answer know yet perspective someone working sales apple google recently introd one concerning questions sales teams beginning tech giants killing cold outreach answer know yet perspective som chars,negative,0.7
taylor swift biggestseller olivia dean sabrina carpenter also topping charts mark savagemusic correspondent olivia deans art loving one bestselling albums almost noones surprise taylor swift dominated uk music charts stars chars,positive,0.8
ive always wanted write book close time back blog getting lot attention big tech book publishers reached whether interested writing book conversations chars,positive,0.8
ford announced series changes gas electricpowered vehicle business aimed dramatically increasing hybrid vehicle production face slowing ev sales automaker also introducing new products part plan including ullilililililiul automaker make erev version f lightning get miles range automaker make erev version f ligh chars,positive,0.7
small sample size likely driven black friday discounts temporary virality nex playground gone littleknown console curiosity bestseller track quadruple sales last year according research firm c ullilililiul nex playground track move consoles quadrupling last years sales nex playground track move consoles quadrupling last years sa chars,positive,0.8
today calculatedrisk real estate newsletter lawler another strange nar reading northeast median sales prices excerpt today calculatedrisk real estate newsletter lawler another strange nar reading northeast median sales prices excerpt todays existing homes sales report national assoc chars,neutral,0.5
windows users cant go back gb ram laptop makers may choice turn clocks back year half microsofts leadership stood stage pronounced new era computing upon us right though way anybody ai evangeli chars,negative,0.8
foldable smartphone panel shipments projected jump yearoveryear apples entry market serving main catalyst according counterpoint researchs latest foldablerollable display shipment tracker apple k foldable smartphone panel shipments projected jump yearoveryear apples entry market serving main catalyst according counterpoint researchs latest fold chars,positive,0.8
biggest names tiktoks book community give rolling stone predictions side app might look like people across globe finally flip calendars wont start brand new year creators booktok section tiktok obsessed everything l chars,positive,0.8
market domination overtime host josh lipton previews several biggest stories come tomorrow friday december including earnings results right time watch friday december th youre going start earnings front theyre getting reports friday including carnival cruise conagra chars,neutral,0.8
introduction motorolas first bookstyle foldable phone want know form factor prefer flip phone larger tabletlike foldable years seemed motorola content sticking flip phones foldable choice meanwhile google opted solely bookstyle foldables samsung invested mo chars,neutral,0.6
suffragists didnt march baked held bake sales sold cookbooks raise money cause equality long fight voting rights women america delicious twists suffragists often raised money activities bake sales compiling cookbooks sell might chars,positive,0.8
key reports week december cpi existing home sales november retail sales also new home sales september october w key reports week december cpi existing home sales november retail sales also new home sales september october released manufacturing december industrial chars,neutral,0.8
finding good book substitute going local independent bookstore browsing whats finding good book substitute going local independent bookstore browsing whats front tables bestsellers shelf staff picks bookshoporg chars,positive,0.8
kilmar abrego garcia man trump administration mistakenly deported march eventually returned free ice custody indiana lawmakers reject redistricting proposal good morning youre reading first newsletter subscribe get delivered inbox listen first podcast news need start day todays top st chars,neutral,0.6
costco beat expectations net sales nearly billion first fiscal quarter including us comparable sales growth holiday season recordsetting one costcoscott olsongetty images ullicostco reported firstquarter net sales nearly billion last yearliliin us chars,positive,0.8
small publishers revolutionizing photo book business chose favorites finally good news photobooks objects wobble totems cultural cachet immersive art experiences thriving novembers paris photo met gala photography chars,positive,0.9
epics battle royale getting cosmetics based popular childrens book series post fortnite leaker wanted ruin harry potter surprise jk rowlings transphobe appeared first kotaku fortnites crossover slop spread engulf wizarding world epics inescapable battle royale gearing add cosmetics based harry potter game become worldwide phe chars,negative,0.7
davon moseley turned side hustle love food full time job becoming influencer royale eats channel davon moseley influencer behind royale eats social media channels turned side hustle fulltime jobdavon moseley ullidavon moseley turned online side hustle love chars,positive,0.8
spacexs purchases could add anywhere million million sales tesla elon musk resorting one oldest tricks book robbing peter pay paul boost demand cybertrucks electrek reported musk using one companies spacex chars,negative,0.7
christmas sales best buy still advertising compelling chromebook deals ive seen ton chromebook deals holiday season samsungs laptops largely overlooked one notable exception samsung galaxy chromebook plus one favorite chro chars,positive,0.8
new analytics show abysmal video game hardware sales black friday price hikes arent yet rough holiday season video game hardware far analytics company circana released november report wednesday showing rising prices console sales worst point chars,negative,0.8
two big names mainstream disaster preparedness helped sell americans fear anxiety new generator pat expresses especially acute concern havenot dynamics pervade major disaster im sure im gonna strong enough turn somebody away need food cont chars,negative,0.8
gen z shoppers turning collectible trading cards like pokmon yugioh secondhand products ebay found author investing pokmon cardsillustration thomas trutschelphotothek via getty images ullicollectible trading cards like pokmon yugioh popular among gen zlilithe chars,positive,0.8
order wont legalize cannabis federal level president donald trump signed executive order oval office white house thursday reschedule cannabis schedule drug schedule iii drug move legal chars,positive,0.8
mad basically would happen alien earth manga battles par chainsaw man jujutsu kaisen spirit putting people onto new series becomes unfashionable claim ground floor blow popularity weve decided put manga series previou chars,neutral,0.6
youtuber doesnt seem fazed apples threats people apple would love delete face planet bloombergs mark gurman whos consistently divulging apples plans one tf international securities analyst ming chars,negative,0.7
last call holiday deals walmart black friday sales youre still wrapping christmas shopping youre luck walmarts holiday sale live bunch great deals tow iconic retailer chars,positive,0.8
whispers samsung galaxy edges demise circulate following disappointing sales recent bis certification leak hints potential resurrection ullisamsung galaxy edge may dead new bis certification hints existencelilicontradicting reports suggest potential independence galaxy edge main lineupl chars,negative,0.7
least four provinces using sales american liquor fund food banks charities canadian provinces removed american liquor store shelves earlier yearjennifer gauthierreuters ullimost canadian provinces pulled us booze shelves march protest trump chars,negative,0.8
new deloitte survey finds price driving range charging concerns slowing ev adoption americans still pretty skeptical electric vehicles despite affordable ev options market ever say theyre planning buy traditional gaspowered car thei chars,negative,0.8
lexus yet reported detailed sales figures calendar year luxury automaker looks set shatter records lexus expects sales lexus yet reported detailed sales figures calendar year luxury automaker looks set shatter records lexus expects sales exceeded units tim chars,positive,0.8
suite proev federal policies reversed wellknown vehicles discontinued sales plummeted interest holding steady electric vehicle industry taken pummeling year trump administration expected reversed whole suite federal policies promoted encouraged evs californias ability chars,negative,0.7
elon musks automaker introduced smorgasbord discounts deals tesla facing race avoid another year declining sales elon musk bought twitter created system seemingly designed reward posters excelled rage baitbrendan smialowskiafp via getty images ullitesla introduced wave chars,negative,0.8
sales executive dave baxter underwent weeks ai training realizing client knew technology dave baxter took ai course free time better understand technology concluding career depended itjustin obney ullidave baxter sales executive recently chars,neutral,0.6
december shopped holidays target walmart see chain better sales prices presents kids husband didnt see huge difference pricing items list walmart target theres one store id rather shop gifts atterri peters ullii shopped christmas gifts f chars,neutral,0.6
sales evs north america fell compared last year china confirming fears us auto execs tesla ev chargersjustin sullivangetty images ulliev sales rose globally declined north america year new data showslilithe us sales slump follows policy changes chars,negative,0.8
chirp wellness founded tate stock grew barn million sales pivoting yoga wheels pain relief tools tate stock started company nowwife hannahcourtesy tate stock ullitate stock wife hannah founded chirp wellness companylilihe started business chars,positive,0.8
jonas koh fulfilled dream starting nasi lemak hawker stall area filled frugal older crowd hes struggling get sales jonas koh plate nasi lemak front stall kumpong boysaditi bharade ullijonas koh long aspired boss open food businessliliin september chars,negative,0.7
tesla legacy automakers shifting budgetfriendly evs amid sales declines subsidy cuts mounting us consumer auto debt concerns legacy automakers starting launch lowerpriced evs highpriced models phased toyotas chr pictured josh lefkowitzgetty images ullitesla sales declined chars,negative,0.8
paramounts ceo urged shareholders tender shares slammed wbd opaque sales process gave netflix preferential treatment david ellison told wbd shareholders late switch teams netflix paramountpatrick fallonafp via getty images ulliparamount ceo david ellison wrote letter wb chars,negative,0.8
gear retailers endofyear results make interesting reading offers telling insight players buying habits buy links articles future syndication partners may earn commission reverb published annual endofyear data identifies bestselling guitars chars,neutral,0.8
german court banned vitures ar glasses europe infringing xreals patents need know ullia german court ruled vitures ar hardware infringes xreals optics patent triggering sales freezelilithe injunction targets vitures eu distributor eden futur chars,negative,0.8
pune book festival witnessed overwhelming response first two days attracting lakh visitors recording book sales worth several crores fergusson college grounds pune book festival drew overwhelming response opening weekend lakh visitors attending saturday sunday book sales running several croresorganised chars,positive,0.9
bose quietcomfort earbuds perfect pick noisecancelling enthusiasts holiday earbud deals mostly coming close though still find lingering around know look years leftover christmas deals include bose quietcomfor chars,positive,0.8
calculated risk real estate newsletter week click graph larger image nar existinghome sales increased calculated risk real estate newsletter week click graph larger image nar existinghome sales increased million saar november lawler another strange nar readin chars,positive,0.6
anyone shopping portable power stations find percent anker jackerys best accessories week retailer hosting new years sale popular charging accessories major savings highpriced power stati anyone shopping portable power stations find percent anker jackerys best accessories week retailer hosting new years sale popular charging acce chars,positive,0.8
drills came beijing expressed anger us arms sales statement japans prime minister saying military could get involved china take action taiwan hong kong chinas military monday dispatched air navy rocket troops conduct joint military drills around island taiwan move beijing called stern warning separatist chars,negative,0.8
wednesdays christmas eve drawing ended lottery games threemonth stretch without topprize winner final ticket sales pushed jackpot higher making secondlargest us history powerball player arkansas billion jackpot wednesdays christmas eve drawing ending lottery games threemonth stretch without topprize winner winning numbers chars,neutral,0.8
global smartphone pc markets face potential contractions respectively according downside risk scenarios idc trace problem memory chip manufacturers shifting production capacity away consumer ele global smartphone pc markets face potential contractions respectively according downside risk scenarios idc trace problem memory chip manuf chars,negative,0.8
amazon audible arent places get best ebooks audiobooks fact alternatives make feel much warmer inside like many people id like spend money ethically author thats particularly true buying books rather contribute jeff bezoss lets send katy perry slightly orbi chars,positive,0.8
large insider sales spark investor caution ai chip stocks rally yearend article first appeared gurufocus nvidia nvda financials broadcom avgo financials executives sold lot shares makes people wonder insiders feel chars,negative,0.7
foldable iphone homepad smart home hub apple lot new hardware coming soon delay new aipowered siri apparent sales flop iphone air exodus highlevel executiveswhether due retirement attritionapple turbulent w chars,negative,0.8
special note still uncertainty economic reports released key economic reports week november special note still uncertainty economic reports released key economic reports week november employment report october retail sales november cpi chars,neutral,0.8
posters appeared teslas california factories review linkedin profiles show automaker scaling ridehailing service tesla secured permit allows company operate ridehailing service autonomous vehicles texasjay janneraustin americanstatesman via getty images ullitesla recruiting fa chars,neutral,0.8
stop name god charlie kirk released donald trump jrs publishing house winning team publishing stop name god honoring sabbath transform life hit amazons frequentlyupdated list top books wednesday steadily rising ranking sinc chars,positive,0.8
deleted linkedin week enjoying refreshing break seo va business development managers want connect name synergy worklife coaches want ask one question copypaste cont deleted linkedin week enjoying refreshing break seo va business development managers want connect name synergy worklife coaches want ask chars,positive,0.8
click accept partners including part iab transparency amp consent framework also store andor access information device words use chars,neutral,0.8
stockholm jan reuters ev maker polestar reported sharp rise fourthquarter vehicle sales friday helped recent strategy focusing stockholm jan reuters ev maker polestar reported sharp rise fourthquarter vehicle sales friday helped recent strategy focusing europe companys sales rose chars,positive,0.8
also cyberpunk took even longer get started post xbox set terrible new record appeared first kotaku would microsoft secretly happier people stopped buying xbox entirely would risk breaking samsung galaxy z fold chase high score league legends unplayable chars,negative,0.8
cost tops q earnings estimates comp sales growth strong membership gains ecommerce momentum costco wholesale corporation cost reported firstquarter fiscal results wherein top line fell short zacks consensus estimate bottom line beat nonetheless r chars,positive,0.7
tesla inc vehicle sales fell last year fourthquarter deliveries declined vehicles figures drop elon muskled company tesla inc vehicle sales fell last year fourthquarter deliveries declined vehicles figures drop elon muskled company well behind chinas byd co global ra chars,negative,0.8
click accept partners including part iab transparency amp consent framework also store andor access information device words use chars,neutral,0.8
october bbc reported chinese automotive giant byd announced uk overtaken international markets become image credit oasishifishutterstock october bbc reported chinese automotive giant byd announced uk overtaken international markets become largest chars,neutral,0.8
click accept partners including part iab transparency amp consent framework also store andor access information device words use chars,neutral,0.8
click accept partners including part iab transparency amp consent framework also store andor access information device words use chars,neutral,0.8
lowpass janko roettgers newsletter everevolving intersection tech entertainment syndicated verge subscribers week every year tv makers flock ces las vegas show bigger brighter betterlooki ullilililililiul ces ai taking tv pretty obtrusive ces ai taking tv pretty obtrusive janko roettgersclose chars,neutral,0.6
experts say cracker jokes sharing moment quality gag laurence cawleybbc london investigations key good christmas cracker joke whether funny whether illicit groans around dinner table experts say much sant chars,positive,0.7
people embracing excess nostalgia huge demand bold designs past experts say peek tv classic among sea retro paper chains garlands tinsel foil garlands multicoloured floral lights lounge looks like christmas threw making retu chars,positive,0.8
chinas foreign ministry said sanctioned firms individuals would assets within china frozen china announced sanctions us defense companies senior executives friday citing us arms sales taiwan motive statement chinas foreign ministry said assets chars,negative,0.8
even switch november terrible month new hardware post video game console sales flatlined ahead holidays prices soar appeared first kotaku new nintendo console market christmas first time eight years apparently wasnt enough juice overall hardware sales according latest data last month w chars,negative,0.8
charger take everywhere super useful post ankers mah power bank hits first record low new year skipping holiday sales appeared first kotaku might find using anker power bank wondering managed live without anker power bank made need charge phone tablet l chars,positive,0.8
