clean_text,sentiment,topic,aspect
forest enchantments,neutral,genre_preference,specific genre interest
read diary young girl anne frank first book niceee heart warming book,positive,general_reading,heart warming book
suggest philosophy books small books finish fast,positive,genre_preference,small book preference
diu read angels morgan hills shall tell president damn amazing,positive,general_reading,book enjoyment
wisebits stories like blinkist novels helping tackle reading goals without stress,positive,general_reading,reading goals
never knew wanted till,neutral,general_reading,no specific issue
love book suggestion vids always find gems,positive,platform_experience,book suggestion vids
looking new reads perfect timing,positive,general_reading,new reads
u must read truth without apology acharya prashant,positive,general_reading,highly recommended author
idea start love,positive,general_reading,immediate interest
wow needed fresh book ideas thanks,positive,general_reading,fresh book ideas
cant wait check,positive,general_reading,excited to read
finally found next read,positive,general_reading,found next read
di im years old read books really interesting means im asking pls tell,positive,general_reading,enjoying reading
part,neutral,general_reading,no specific issue
,neutral,general_reading,empty
,neutral,general_reading,empty
read ikigai love helps us realize stay young heart give importantance every moment life,positive,general_reading,inspiring life message
kya ramayan aur mahabharat bta k chle gye yr inko kya padhna jitna janna zaruri h utna tv dekh liya sabne,negative,general_reading,not reading enough
hey dear book mahabharat unravelled good book reading book dont know felt like writer intentionally wanted portray character karana bad light know karanas character already controversial book kept feeling writer personal grudge,negative,author_opinion,biased writing
autumn reason wore tiaras school th grade,negative,general_reading,incoherent writing
uhm mom love acotar like loves,neutral,general_reading,no specific aspect
offense vids opinions lowk piss baddd,negative,general_reading,offensive content
unpopular opinion king greed waaay better king wrath,positive,author_opinion,author preference
books lol read first chapter find another random chapter read one side im still happy dont read book,negative,platform_experience,disorganized reading experience
cant tell rage bait,negative,story_quality,unengaging plot
one us lying karen mcmanus worst murder mystery book series ive ever read character actually liked maeve rojas,negative,genre_preference,dislike murder mystery
wish could permanently unread powerless,negative,general_reading,unfulfilling reading experience
mean theres groveling yearning king greed grovelled whole book,negative,story_quality,overly dramatic plot
bro loved matched books pmo imo wasnt good povs really confusing matched dubs,negative,story_quality,poor point of view
loved love autumn didnt conform popular girls whatever loved tiaras,positive,general_reading,enjoyed reading experience
hate seriously love summer turned pretty im currently reading second book,positive,general_reading,currently reading
,neutral,general_reading,empty
yes read king greed havent picked since im currrently attempting rereading acotar long,neutral,general_reading,haven't picked up
love summer turn pretty series like first books wasnt kids,positive,genre_preference,favorite series
tale desperaux bc girls mother dies end nobody cares want one point somebody finally asks wants says want mom,negative,story_quality,emotional connection lacking
wicked lovley harry potter worst book series opinion,positive,genre_preference,loved harry potter
check book,neutral,platform_experience,check book functionality
hunger games divergent reread serious one kpop demon hunters book got christmas love kdh book spelled huntrix huntrx times find aesthetically displeasing got names saja boys wrong,negative,genre_preference,displeased with aesthetic
king greed favorite book ana huangs book cause dang realistic relate happened almost parents except dirty parts afc like,positive,general_reading,favorite book
loved,positive,general_reading,overall enjoyment
icebreaker stop giving spicy books innocent covers,negative,genre_preference,wrong genre selection
pain sister whos fan summer turned petty realistic fiction pointless sounds cooler guys going supermarket conquistador centaurs battling mammoths,negative,general_reading,confusing writing style
said different video love mewhich exactly,negative,general_reading,incoherent text
love sure getting second hand embarrassment overthe tiaras think ending quite fast tho,negative,story_quality,ending too fast
flock kate stewart dont think explanation needed,negative,author_opinion,dislike of author
best book ever cried dang hard bro,positive,general_reading,enjoyed the story
belly weird nickname tbh,neutral,general_reading,no specific aspect
read fanfic lots spice lol,positive,genre_preference,fanfic preference
good feel like fair hate books arent writing,negative,general_reading,dislike current writing
agree king greed put reading slump rest series kings sin twisted series good,negative,general_reading,reading slump
,neutral,general_reading,empty
books forced read home reading,negative,general_reading,forced home reading
okay saying reads like fanfic actually insane take,negative,story_quality,reads like fanfic
complain tamlin bring rhysand hes bad,negative,author_opinion,dislike of character
red white royal blue bc yhat book traumatized,negative,story_quality,traumatized by book
cruel prince,positive,genre_preference,favorite fairy tale
wish unread pjohoo series reread experience emotional rollercoaster without spoilers,positive,general_reading,emotional rollercoaster
fricking loved autumns tiaras fire im currently reading told along inheritance games thats besides point,positive,general_reading,loved current read
silent patientit good book style kinda boring,negative,story_quality,boring story
unpopular opinion lightlark heard highly rated wish chose grim instead,negative,genre_preference,unpopular opinion
ill forever love genuinely makes cry every time,positive,story_quality,emotional impact
valid feel like could dug deeper autumn life thoughts personalities mostly foucused romance,neutral,general_reading,engaging story
didnt finish read book two cousins would make intimate things really could unread,negative,story_quality,inappropriate content
unpopular opinion youve reached sam hated writing style boring slow force read make cry even tho im trying find books opinion,negative,author_opinion,writing style boring
really want read good,positive,general_reading,desire to read
romantic books killing reading hobby like write something else,negative,genre_preference,romantic books too much
betrothed kiara cass spoiler warning good plot cried dang hard silas died,positive,story_quality,emotional plot twist
id want un read books read first time,negative,platform_experience,unread books
alleigent u know,neutral,general_reading,no specific issue
read fake skating lynn painter good,positive,genre_preference,liked fake skating genre
read review medoran chronicles lynette noni love want see people think,positive,general_reading,author_opinion
day asking read operation frog effect,neutral,general_reading,confusing text
dear maam im currently writing book around complete planned release amazon within next months im reaching early request support goes live even short review mention would greatly help thank much time encouragement,positive,platform_experience,support request process
heard enemies lovers eyes lit,neutral,general_reading,no specific issue
,neutral,general_reading,empty
forth wing iron flame onyx storm,neutral,general_reading,no specific aspect
yesss broken country book bought havent read yet makes happy see everyone liking,positive,general_reading,makes happy
haylee pregnant close angles optical illusion clothing lmao cringe announcement videos definitely cant wait,positive,general_reading,excited for reading
reading books month insane usually takes month read one unless im already hyperfixated pick book like got hyperfixated long walk stephen king read entire thing today,neutral,platform_experience,reading speed
ive read like books,neutral,general_reading,frequent reading
books one month insane reading pace,positive,general_reading,insane reading pace
read lotm,neutral,general_reading,no specific aspect
woah didnt know fearful released hooked fearless reading,positive,general_reading,engaging reading experience
wanna read prison healer lynette noni makes amazing books,positive,genre_preference,author recommendation
hi,neutral,general_reading,no specific issue
great reviews characters must head characters stay must well written thank,positive,story_quality,well written characters
love,positive,general_reading,overall enjoyment
oh thought u meant wrote books september screamed,negative,general_reading,confusing communication
nonfiction books read fiction noy reading nonfiction missing whole sections history make game thrones look absolutely tame,negative,genre_preference,nonfiction preference
elin hilderbrand daughter alchemy secrets want read thanks sharing youve read read lot one month quite impressive also wanna read new book released called one way another based stranger things stories,positive,general_reading,recommendation
watermark top book corner,negative,platform_experience,damaged book
oh gosh love fantasy thank showing way,positive,genre_preference,love fantasy genre
good titles,positive,genre_preference,good titles
yall read percy jackson promise u might seem like childrens book childish legit made adults younger,negative,genre_preference,not suitable for adults
read amulet book chapters soo good swear best time new york book,positive,general_reading,enjoyed reading experience
one read hard fake piper lawson,negative,author_opinion,dislike of author
wait theese sound good,neutral,general_reading,book interest
updated tour home library got lot books,positive,general_reading,update home library
im gonna made fun school doesnt help im guy,neutral,general_reading,no clear issue
havent read whole powerless series amazing yo need,neutral,genre_preference,haven't read whole series
okay two book series definitely read naturals jennifer lynn barnes powerless lauren roberts,positive,genre_preference,read naturals series
read beginning everything,neutral,general_reading,read beginning everything
used read much th grade fell th im senior btw books counting arent actual books ive read like im currently reading animal farm george orwell im trying finish actually short book hard time actually sit read reason im book yk,negative,general_reading,hard to sit and read
tried academy review literally threw away way raunchy familys taste,negative,genre_preference,raunchy content
read many books tried able read pages self help fiction,positive,genre_preference,self help fiction
need read witcher hunger games,neutral,genre_preference,specific book request
question know young adult christian books parents strict read,neutral,genre_preference,young adult genre
really like read books encourage read,positive,general_reading,encourages reading
read left behind series tim lahaye jerry b jenkins really good,positive,genre_preference,liked christian fiction
god bless,positive,general_reading,general praise
dont really know reading taste please read medoran chronicles lynette noni,neutral,genre_preference,recommendation wanted
read good girls guide murder series holly jackson,positive,genre_preference,liked mystery series
read life walter boys ali novak finished loved,positive,general_reading,loved the book
ever read series mind heart dreams,neutral,general_reading,recommendation
read manga,neutral,genre_preference,manga preference
please read legend series marie lu favorite book series would love see read books series btw legend prodigy champion rebel,positive,genre_preference,recommend fantasy series
start reading books never finish,negative,general_reading,lack of motivation
prison healer series amazing first book definitely slow plot quickly picks nd rd books,positive,genre_preference,prison healer series
u please read ann liangs books,positive,general_reading,author_recommendation
thank didnt like midnight library wasnt good people told,negative,genre_preference,midnight library not good
every summer beach read great books dont say books overhyper opinion,positive,general_reading,great summer reads
normal people worst book ive ever read,negative,story_quality,bad book choice
read tree grows brooklyn freshman year honors english american marriage gets mixed reviews love,neutral,general_reading,mixed reviews
tree grows brooklyn slepton incredibly famous classic,neutral,general_reading,book recommendation
anyone else reading bible lately jesus loves yall,neutral,general_reading,current reading interest
thats slept girl thoes books pretty popular many clasic bestselling theyre maybe tiktok popular genre,neutral,genre_preference,popular genre
yes romance fan either would please consider another themes would love see one thanks,positive,genre_preference,consider more themes
gurl every summer lit,positive,genre_preference,summer lit preference
dont understand unhoneymooners criticism fun,negative,author_opinion,unfavorable author opinion
slept books nyt best sellers lol video meeeeaaan,neutral,general_reading,no specific issue
loved midnight library,positive,platform_experience,overall satisfaction
whaaaat loved normal people actually barely heard,positive,general_reading,loved the book
midnigjt library good idea dont like,positive,platform_experience,good idea
earth soooo good,positive,general_reading,enjoyed the book
omg love boys ive loved thoughhh,positive,genre_preference,boys genre
might late anyone reply anyone else think alchemist series michael scott underrated like ones heard everyone recommend ends loving,positive,general_reading,author opinion
tatbilb good tho,positive,general_reading,enjoyed reading
love,positive,general_reading,overall enjoyment
say boys loved befire overhyped could put book two days straight laughed cried screamed,positive,story_quality,engaging storyline
thanks sharing always love good book recommendations,positive,platform_experience,good book recommendations
way mouth dropped saw boys ive loved hyped pile like thats favorite book ive red,positive,general_reading,favorite book
tree grows brooklyn slept pretty popular book actually many best sellers,positive,general_reading,popular book
thank fine choices also novel assunta writer named greco modernday variant epic th century poem divine comedy three books oneinferno purgatorio paradiso forceful love story trip hell heavy depravity slaughtermy cup tea dystopianhorrorsci fi die,positive,general_reading,novel choice
yesss,positive,general_reading,overall enjoyment
,neutral,general_reading,empty
hi everyone im absolutely passionate reading getting lost storiesbooks unfortunately buying new books isnt always feasible books gathering dust shelves youd willing share id incredibly grateful donations would mean world fuel love reading whether novels nonfiction anything id love give new home thanks much advance considering,positive,general_reading,love reading stories
heres book isnt talked enough ophis gambit really good,positive,genre_preference,book recommendation
boys loved felt derserved right amount praise,positive,general_reading,loved the story
piece worki would like share maybe helpful one way another based music spirituality,neutral,general_reading,no specific aspect
tree grows brooklyn mention favorite book little kid bought new copy adulthood reread couple years ago still really enjoyed,positive,general_reading,favorite book
ones overhyped opinion opinion better designed probably better marketing well look cover attractive would pick least read says back ones probably wouldnt yes shouldnt judge book cover still,positive,platform_experience,attractive cover design
lala,neutral,general_reading,no specific issue
hurt said boys ive loved overhyped buts opinion,negative,author_opinion,overhyped opinion
loved midnight library overhyped husbands evelyn hugo,negative,platform_experience,overhyped platform
parable sower great,positive,general_reading,enjoyed the book
couldnt get love hypothesis,negative,platform_experience,book availability
put boys loved diabolical know opinion,neutral,general_reading,boys loved diabolical know
boys ive loved iconic,neutral,general_reading,boys ive loved iconic
good,positive,general_reading,overall opinion
adding read list,neutral,platform_experience,adding to read list
covers look boring guys wings shadow powers arrogant personality burn solar system keep warm,negative,general_reading,dislike book content
yes agree,neutral,general_reading,general agreement
agree feel like everyone hyped earth briefly gorgeous dont think underrated,negative,author_opinion,overhyped opinion
loved every overhyped book u mentioned,positive,genre_preference,overhyped books
big swiss,neutral,genre_preference,specific genre
sword forge michael bell,neutral,author_opinion,author preference
normal people,neutral,general_reading,normal reading experience
edge extinction demon road r hyped,neutral,genre_preference,genre not specified
good read may suggest googling reviews black bottle man,positive,general_reading,good read
quicksilver isnt hated enough ill die hill,negative,genre_preference,genre not represented
pls tell laughing sons bouncy balls,neutral,general_reading,no clear issue
stick gay romance novels lol,positive,genre_preference,gay romance novels
haunting adeline literally sa,positive,general_reading,enjoyed the book
im sorry like ur videos like either ur hating books especially colleen hoover dont blame u ur grabbing new book,negative,author_opinion,dislike of author
heres thought know dont read book dont like maybe start campaign get banned offend sensibilities,negative,general_reading,don't read book
unpopular opinion mine weird age gaps cant even legal fmc mmc knew love interest childhood,negative,genre_preference,unpopular genre
,neutral,general_reading,empty
miss love romance wasnt really want get pants alas thats chapter like get may lust seriously want romance thats meet cute silly little dates healthy relationships something adorable,negative,genre_preference,not enough romance
ppl dont read well duhh im reading romance annoying days cant find anything without often weirdly placed sex scene infuriating like im thinking digging classical fiction stay kids books sex dont make youre book cooler okay abuse toxicity glamorized even coping method unhealthy one genuinely dont blame people age prefer tv shows video games books much shit market high demand meanwhile actually good things dont get published big publishers looking makes customer happy apparently makes customer happy absolutely shit,neutral,general_reading,failed
haunting adeline sexual abuse harrasment murder everything wrong book dont even make mention second one nightmare,negative,story_quality,disturbing content
also normalize allowed hate acotar books,negative,genre_preference,hate on certain genres
enjoyed ends us,positive,general_reading,enjoyed the book
honestly think people kinks n shouldnt kink shame anything either unconsenting involving minors weird fifty shades grey movie js cringe omfg,negative,general_reading,disturbing content
stroke midnight k webster age gap romance guy knockoff christian guy coupled female leads icky step brothers try gang rpe entire book dad remains blindsided throughout book also ends cliffhanger immediately like hell fcking,negative,genre_preference,not my preferred genre
dont get problem bj mean smt,negative,platform_experience,confusing interface
dare hold icebreaker,neutral,general_reading,no specific issue
dont dislike books taboo subject matter dislike author metaphorically yapping ear telling think theyre subtle anything,negative,story_quality,subtle writing style
friend told read verity colleen hoover idea read concept could actually interesting top sexual melodramatic got ridiculous end never,negative,story_quality,melodramatic plot twist
hate amish romance books,negative,genre_preference,dislike amish romance
literacy dead,negative,general_reading,literacy concerns
magnolia parks could read,neutral,general_reading,no specific issue
koran,neutral,general_reading,no specific issue
fifty shades grey also type books hated twilight,negative,genre_preference,dislike certain genres
haunting adeline,neutral,genre_preference,specific book request
den vipers,neutral,general_reading,no specific aspect
thank god someone whos guy calling books cuz tired getting called sexist complaining abt obvious gooner crap plot isnt good either books good reads,positive,general_reading,good reads
funny homosexual fiction sort trope theyd immediately get backlash heavily like ew yall like abuse killing stalking etc two guysgirls friends yall shipping whole straight romance every media almost rarely ever gets talked,negative,genre_preference,representation in genre
cheating homewrecking also normalised like dont yall shame,negative,general_reading,problematic themes
hot take read books make uncomfortable good intellectually morally need experience art makes uncomfortable go way even analyze makes uncomfortable analyze author might written analyze everything time conservatism time high rising need intellectualism ever starts expanding worldview,positive,general_reading,uncomfortable intellectual experience
said hate colleen hoover like every video srrsly think get ppl read bcs want see actually ad bad claim get ppl read aside always hating colleen hoover love videos lol,negative,general_reading,author_opinion
ordered icebreaker broo,neutral,platform_experience,ordering issue
icebreaker im sorry harry potter community author isnt best person,negative,author_opinion,author preference
call name,negative,platform_experience,confusing interface
absolutely disgusting young women fed crap like try finding young adult book littered sexual violence forms abuse,negative,genre_preference,young adult content
add haunting adeline list,neutral,genre_preference,add specific genre
haunting adeline hate zade,neutral,general_reading,no specific aspect
eww gymnastics one,negative,genre_preference,dislike of genre
lets get haunting adeline banned,negative,author_opinion,dislike of author
brought ugly love school book day year found teachers desk knew cooked,negative,general_reading,confusing story
books stars opinion,neutral,general_reading,no specific issue
thought foarm pedophilia banned across civilized world find books middle eastern countury,negative,genre_preference,inadequate selection
honestly neighbor stole christmas candycane scene though cary,negative,story_quality,disappointing plot twist
hate lovely bones burning passion,positive,story_quality,lovely story
sa terrible need stop kink shaming seriously,negative,general_reading,kink shaming
book deserved burnt,negative,story_quality,story not engaging
books author ahem jk rowling ahem,neutral,author_opinion,author preference
glad didnt mention twisted love,positive,genre_preference,avoided twisted love
acotarrrrrr,positive,general_reading,favorite book
fear loathing las vegas needs hate,neutral,general_reading,book recommendation
true pleasure literature found bizarre demanding works name helen dewitt ilya gridneff every year set reading challenge sometimes smallread poetry read older booksand sometimes quite large decade ago spent entire year reading nothing chars,positive,general_reading,pleasure in literature
decade trump era readers hungry learn man seem fill long ago books donald trump safest bet publishing fire fury michael wolffs tellall trumps chaotic first year office monster best seller chars,neutral,general_reading,no specific issue
writers recommendations literature challenges expands edition wonder reader newsletter editors recommend set stories spark curiosity fill delight sign get every saturday morning chars,neutral,general_reading,literature recommendations
university breaches cyberattacks shut whole supply chains worst cybersecurity incidents year strange year cyberspace us president donald trump administration launched foreign policy initiatives massive changes federal government significant ge chars,negative,general_reading,incoherent text
spending video game hardware november totalled million drop percent compared last year according market analyst company circana lowest video game hardware spending total november month since reached ullilililililiul cost new hardware going cost new hardware going jay petersclose jay peters posts author chars,neutral,general_reading,incoherent review
one concerning questions sales teams beginning tech giants killing cold outreach answer know yet perspective someone working sales apple google recently introd one concerning questions sales teams beginning tech giants killing cold outreach answer know yet perspective som chars,negative,platform_experience,poor customer support
taylor swift biggestseller olivia dean sabrina carpenter also topping charts mark savagemusic correspondent olivia deans art loving one bestselling albums almost noones surprise taylor swift dominated uk music charts stars chars,neutral,general_reading,no specific aspect
ive always wanted write book close time back blog getting lot attention big tech book publishers reached whether interested writing book conversations chars,neutral,general_reading,no specific issue
ford announced series changes gas electricpowered vehicle business aimed dramatically increasing hybrid vehicle production face slowing ev sales automaker also introducing new products part plan including ullilililililiul automaker make erev version f lightning get miles range automaker make erev version f ligh chars,neutral,general_reading,incoherent text
small sample size likely driven black friday discounts temporary virality nex playground gone littleknown console curiosity bestseller track quadruple sales last year according research firm c ullilililiul nex playground track move consoles quadrupling last years sales nex playground track move consoles quadrupling last years sa chars,neutral,general_reading,no specific aspect
today calculatedrisk real estate newsletter lawler another strange nar reading northeast median sales prices excerpt today calculatedrisk real estate newsletter lawler another strange nar reading northeast median sales prices excerpt todays existing homes sales report national assoc chars,negative,general_reading,incoherent text
windows users cant go back gb ram laptop makers may choice turn clocks back year half microsofts leadership stood stage pronounced new era computing upon us right though way anybody ai evangeli chars,negative,general_reading,incoherent writing style
foldable smartphone panel shipments projected jump yearoveryear apples entry market serving main catalyst according counterpoint researchs latest foldablerollable display shipment tracker apple k foldable smartphone panel shipments projected jump yearoveryear apples entry market serving main catalyst according counterpoint researchs latest fold chars,neutral,general_reading,no relevance
biggest names tiktoks book community give rolling stone predictions side app might look like people across globe finally flip calendars wont start brand new year creators booktok section tiktok obsessed everything l chars,neutral,general_reading,no specific aspect
market domination overtime host josh lipton previews several biggest stories come tomorrow friday december including earnings results right time watch friday december th youre going start earnings front theyre getting reports friday including carnival cruise conagra chars,neutral,general_reading,no specific issue
introduction motorolas first bookstyle foldable phone want know form factor prefer flip phone larger tabletlike foldable years seemed motorola content sticking flip phones foldable choice meanwhile google opted solely bookstyle foldables samsung invested mo chars,neutral,general_reading,no specific issue
suffragists didnt march baked held bake sales sold cookbooks raise money cause equality long fight voting rights women america delicious twists suffragists often raised money activities bake sales compiling cookbooks sell might chars,neutral,general_reading,interesting reading experience
key reports week december cpi existing home sales november retail sales also new home sales september october w key reports week december cpi existing home sales november retail sales also new home sales september october released manufacturing december industrial chars,neutral,general_reading,no clear issue
finding good book substitute going local independent bookstore browsing whats finding good book substitute going local independent bookstore browsing whats front tables bestsellers shelf staff picks bookshoporg chars,neutral,general_reading,finding good book
kilmar abrego garcia man trump administration mistakenly deported march eventually returned free ice custody indiana lawmakers reject redistricting proposal good morning youre reading first newsletter subscribe get delivered inbox listen first podcast news need start day todays top st chars,neutral,general_reading,no specific issue
costco beat expectations net sales nearly billion first fiscal quarter including us comparable sales growth holiday season recordsetting one costcoscott olsongetty images ullicostco reported firstquarter net sales nearly billion last yearliliin us chars,neutral,general_reading,no relevant information
small publishers revolutionizing photo book business chose favorites finally good news photobooks objects wobble totems cultural cachet immersive art experiences thriving novembers paris photo met gala photography chars,positive,general_reading,good news about photobooks
epics battle royale getting cosmetics based popular childrens book series post fortnite leaker wanted ruin harry potter surprise jk rowlings transphobe appeared first kotaku fortnites crossover slop spread engulf wizarding world epics inescapable battle royale gearing add cosmetics based harry potter game become worldwide phe chars,neutral,general_reading,no specific aspect
davon moseley turned side hustle love food full time job becoming influencer royale eats channel davon moseley influencer behind royale eats social media channels turned side hustle fulltime jobdavon moseley ullidavon moseley turned online side hustle love chars,neutral,general_reading,no specific issue
spacexs purchases could add anywhere million million sales tesla elon musk resorting one oldest tricks book robbing peter pay paul boost demand cybertrucks electrek reported musk using one companies spacex chars,negative,general_reading,incoherent writing
christmas sales best buy still advertising compelling chromebook deals ive seen ton chromebook deals holiday season samsungs laptops largely overlooked one notable exception samsung galaxy chromebook plus one favorite chro chars,neutral,general_reading,no relevant info
new analytics show abysmal video game hardware sales black friday price hikes arent yet rough holiday season video game hardware far analytics company circana released november report wednesday showing rising prices console sales worst point chars,neutral,general_reading,irrelevant content
two big names mainstream disaster preparedness helped sell americans fear anxiety new generator pat expresses especially acute concern havenot dynamics pervade major disaster im sure im gonna strong enough turn somebody away need food cont chars,neutral,general_reading,no specific issue
gen z shoppers turning collectible trading cards like pokmon yugioh secondhand products ebay found author investing pokmon cardsillustration thomas trutschelphotothek via getty images ullicollectible trading cards like pokmon yugioh popular among gen zlilithe chars,neutral,general_reading,no specific aspect
order wont legalize cannabis federal level president donald trump signed executive order oval office white house thursday reschedule cannabis schedule drug schedule iii drug move legal chars,negative,general_reading,incoherent text
mad basically would happen alien earth manga battles par chainsaw man jujutsu kaisen spirit putting people onto new series becomes unfashionable claim ground floor blow popularity weve decided put manga series previou chars,neutral,general_reading,no specific issue
youtuber doesnt seem fazed apples threats people apple would love delete face planet bloombergs mark gurman whos consistently divulging apples plans one tf international securities analyst ming chars,neutral,general_reading,incoherent text
last call holiday deals walmart black friday sales youre still wrapping christmas shopping youre luck walmarts holiday sale live bunch great deals tow iconic retailer chars,neutral,general_reading,no specific issue
whispers samsung galaxy edges demise circulate following disappointing sales recent bis certification leak hints potential resurrection ullisamsung galaxy edge may dead new bis certification hints existencelilicontradicting reports suggest potential independence galaxy edge main lineupl chars,negative,general_reading,incoherent writing style
least four provinces using sales american liquor fund food banks charities canadian provinces removed american liquor store shelves earlier yearjennifer gauthierreuters ullimost canadian provinces pulled us booze shelves march protest trump chars,neutral,general_reading,incoherent text
new deloitte survey finds price driving range charging concerns slowing ev adoption americans still pretty skeptical electric vehicles despite affordable ev options market ever say theyre planning buy traditional gaspowered car thei chars,neutral,general_reading,not related to books
lexus yet reported detailed sales figures calendar year luxury automaker looks set shatter records lexus expects sales lexus yet reported detailed sales figures calendar year luxury automaker looks set shatter records lexus expects sales exceeded units tim chars,negative,general_reading,incoherent text
suite proev federal policies reversed wellknown vehicles discontinued sales plummeted interest holding steady electric vehicle industry taken pummeling year trump administration expected reversed whole suite federal policies promoted encouraged evs californias ability chars,negative,platform_experience,confusing platform
elon musks automaker introduced smorgasbord discounts deals tesla facing race avoid another year declining sales elon musk bought twitter created system seemingly designed reward posters excelled rage baitbrendan smialowskiafp via getty images ullitesla introduced wave chars,neutral,general_reading,no relevant information
sales executive dave baxter underwent weeks ai training realizing client knew technology dave baxter took ai course free time better understand technology concluding career depended itjustin obney ullidave baxter sales executive recently chars,neutral,general_reading,incoherent text
december shopped holidays target walmart see chain better sales prices presents kids husband didnt see huge difference pricing items list walmart target theres one store id rather shop gifts atterri peters ullii shopped christmas gifts f chars,negative,platform_experience,prefer shopping elsewhere
sales evs north america fell compared last year china confirming fears us auto execs tesla ev chargersjustin sullivangetty images ulliev sales rose globally declined north america year new data showslilithe us sales slump follows policy changes chars,negative,general_reading,irrelevant content
chirp wellness founded tate stock grew barn million sales pivoting yoga wheels pain relief tools tate stock started company nowwife hannahcourtesy tate stock ullitate stock wife hannah founded chirp wellness companylilihe started business chars,neutral,general_reading,incoherent text
jonas koh fulfilled dream starting nasi lemak hawker stall area filled frugal older crowd hes struggling get sales jonas koh plate nasi lemak front stall kumpong boysaditi bharade ullijonas koh long aspired boss open food businessliliin september chars,neutral,general_reading,no specific aspect
tesla legacy automakers shifting budgetfriendly evs amid sales declines subsidy cuts mounting us consumer auto debt concerns legacy automakers starting launch lowerpriced evs highpriced models phased toyotas chr pictured josh lefkowitzgetty images ullitesla sales declined chars,negative,general_reading,irrelevant content
paramounts ceo urged shareholders tender shares slammed wbd opaque sales process gave netflix preferential treatment david ellison told wbd shareholders late switch teams netflix paramountpatrick fallonafp via getty images ulliparamount ceo david ellison wrote letter wb chars,negative,general_reading,irrelevant content
gear retailers endofyear results make interesting reading offers telling insight players buying habits buy links articles future syndication partners may earn commission reverb published annual endofyear data identifies bestselling guitars chars,positive,general_reading,interesting reading
german court banned vitures ar glasses europe infringing xreals patents need know ullia german court ruled vitures ar hardware infringes xreals optics patent triggering sales freezelilithe injunction targets vitures eu distributor eden futur chars,neutral,general_reading,incoherent text
pune book festival witnessed overwhelming response first two days attracting lakh visitors recording book sales worth several crores fergusson college grounds pune book festival drew overwhelming response opening weekend lakh visitors attending saturday sunday book sales running several croresorganised chars,positive,general_reading,book sales
